Month,Primary Energy Consumed by the Residential Sector,Electricity Sales to Ultimate Customers in the Residential Sector,End-Use Energy Consumed by the Residential Sector,Residential Sector Electrical System Energy Losses,Total Energy Consumed by the Residential Sector,Primary Energy Consumed by the Commercial Sector,Electricity Sales to Ultimate Customers in the Commercial Sector,End-Use Energy Consumed by the Commercial Sector,Commercial Sector Electrical System Energy Losses,Total Energy Consumed by the Commercial Sector,Primary Energy Consumed by the Industrial Sector,Electricity Sales to Ultimate Customers in the Industrial Sector,End-Use Energy Consumed by the Industrial Sector,Industrial Sector Electrical System Energy Losses,Total Energy Consumed by the Industrial Sector
1973 January,1339.27,180.291,1519.56,371.524,1891.085,657.977,123.242,781.219,253.965,1035.184,2024.906,188.594,2213.5,388.634,2602.134
1973 February,1174.899,169.24,1344.139,310.563,1654.702,623.759,119.754,743.513,219.755,963.267,1839.332,186.266,2025.598,341.807,2367.405
1973 March,983.374,158.027,1141.401,308.108,1449.509,492.136,118.296,610.433,230.645,841.078,1924.235,190.614,2114.849,371.644,2486.493
1973 April,715.391,142.693,858.084,271.515,1129.599,363.393,113.86,477.253,216.652,693.905,1911.939,190.856,2102.795,363.159,2465.954
1973 May,535.914,135.883,671.797,281.772,953.569,288.63,117.568,406.198,243.793,649.991,2074.323,193.93,2268.253,402.14,2670.393
1973 June,366.934,153.428,520.362,341.091,861.453,226.461,128.668,355.129,286.045,641.174,1956.669,195.739,2152.407,435.154,2587.561
1973 July,306.868,184.667,491.535,414.401,905.936,196.228,139.958,336.186,314.072,650.257,2014.979,195.004,2209.983,437.597,2647.58
1973 August,313.317,193.604,506.921,433.819,940.74,204.22,141.977,346.197,318.135,664.332,2133.626,200.847,2334.473,450.048,2784.521
1973 September,342.204,191.787,533.991,360.162,894.153,208.169,142.112,350.281,266.875,617.155,2052.693,201.917,2254.61,379.184,2633.794
1973 October,448.425,161.072,609.497,327.213,936.71,264.373,129.858,394.231,263.803,658.034,2243.782,206.472,2450.255,419.444,2869.699
1973 November,711.988,147.334,859.322,298.802,1158.124,389.108,123.731,512.839,250.934,763.773,2265.523,199.373,2464.896,404.34,2869.236
1973 December,987.464,158.312,1145.776,330.613,1476.39,508.529,117.629,626.158,245.651,871.81,2222.26,191.312,2413.571,399.528,2813.099
1974 January,1235.945,180.421,1416.367,355.519,1771.885,631.87,120.804,752.673,238.042,990.716,1931.856,189.218,2121.074,372.852,2493.926
1974 February,1062.873,163.023,1225.897,297.921,1523.817,536.911,115.779,652.69,211.583,864.273,1866.928,186.975,2053.903,341.691,2395.594
1974 March,912.136,157.279,1069.415,315.534,1384.949,470.272,115.364,585.636,231.444,817.08,1917.252,190.438,2107.69,382.058,2489.747
1974 April,723.904,147.376,871.28,279.953,1151.233,373.79,114.209,487.999,216.951,704.95,1784.137,191.463,1975.6,363.7,2339.3
1974 May,500.171,140.251,640.421,302.317,942.738,265.331,117.768,383.098,253.854,636.952,1911.17,195.256,2106.426,420.883,2527.31
1974 June,369.658,158.989,528.647,326.354,855.001,213.921,127.622,341.543,261.967,603.51,1865.354,196.88,2062.234,404.132,2466.365
1974 July,318.421,182.68,501.101,425.831,926.932,194.741,137.243,331.983,319.916,651.899,1980.921,196.201,2177.123,457.35,2634.472
1974 August,297.214,193.458,490.672,414.648,905.321,196.811,141.677,338.487,303.663,642.15,2049.713,203.496,2253.209,436.163,2689.371
1974 September,341.18,180.658,521.838,327.678,849.516,213.859,138.301,352.16,250.851,603.011,2073.043,204.356,2277.4,370.663,2648.062
1974 October,484.835,150.688,635.523,312.758,948.281,281.762,125.696,407.458,260.887,668.345,2219.78,205.116,2424.896,425.726,2850.622
1974 November,645.39,145.593,790.983,310.103,1101.086,353.427,121.79,475.217,259.404,734.621,2124.172,195.081,2319.253,415.508,2734.761
1974 December,1016.87,172.346,1189.216,381.975,1571.191,526.565,125.082,651.647,277.222,928.868,2015.068,182.314,2197.382,404.067,2601.449
1975 January,1145.426,185.31,1330.735,383.646,1714.381,546.765,130.382,677.146,269.929,947.075,2077.542,193.155,2270.697,399.889,2670.586
1975 February,1090.754,172.288,1263.042,316.762,1579.805,522.317,125.812,648.129,231.313,879.442,1643.028,188.899,1831.927,347.303,2179.23
1975 March,997.785,164.59,1162.376,329.31,1491.686,467.955,125.211,593.167,250.521,843.688,1765.089,189.596,1954.684,379.34,2334.024
1975 April,865.717,153.565,1019.282,294.719,1314.001,421.169,121.517,542.687,233.212,775.899,1464.555,187.596,1652.151,360.029,2012.18
1975 May,526.079,140.895,666.974,299.307,966.28,260.027,123.524,383.551,262.405,645.955,1545.48,190.51,1735.99,404.705,2140.696
1975 June,368.304,157.068,525.373,335.934,861.306,204.983,136.279,341.262,291.471,632.733,1610.649,193.752,1804.401,414.391,2218.792
1975 July,318.568,185.358,503.926,413.426,917.352,186.913,147.303,334.217,328.548,662.764,1721.35,192.642,1913.993,429.673,2343.666
1975 August,303.802,196.734,500.536,431.895,932.43,188.711,150.743,339.454,330.93,670.384,1773.545,200.67,1974.214,440.535,2414.749
1975 September,341.999,186.703,528.702,331.31,860.012,206.459,147.349,353.808,261.474,615.282,1817.365,203.271,2020.636,360.709,2381.345
1975 October,443.56,147.585,591.145,301.732,892.878,247.362,131.093,378.455,268.016,646.471,2013.948,204.348,2218.296,417.783,2636.079
1975 November,582.293,144.289,726.582,290.738,1017.32,306.117,127.717,433.834,257.347,691.181,1910.744,202.258,2113.002,407.545,2520.547
1975 December,1006.009,172.349,1178.358,374.01,1552.369,500.577,130.895,631.473,284.052,915.525,2035.328,199.666,2234.995,433.29,2668.285
1976 January,1303.69,206.4,1510.09,433.806,1943.896,637.624,140.492,778.115,295.282,1073.397,1950.545,199.948,2150.493,420.247,2570.74
1976 February,1100.921,186.256,1287.176,339.179,1626.356,547.418,134.901,682.319,245.659,927.978,1672.467,201.904,1874.371,367.676,2242.047
1976 March,895.893,161.372,1057.265,330.779,1388.044,444.843,130.827,575.671,268.169,843.84,1723.448,210.088,1933.536,430.636,2364.172
1976 April,674.091,149.484,823.575,289.049,1112.624,338.629,126.527,465.156,244.658,709.814,1665.958,208.773,1874.73,403.691,2278.421
1976 May,522.575,140.852,663.427,286.562,949.989,275.27,129.299,404.569,263.057,667.627,1784.376,212.892,1997.269,433.126,2430.395
1976 June,403.688,151.433,555.121,338.983,894.103,225.495,138.5,363.995,310.032,674.027,1756.436,217.811,1974.247,487.57,2461.817
1976 July,333.04,184.348,517.388,409.795,927.183,195.51,154.366,349.876,343.147,693.022,1867.997,216.617,2084.613,481.526,2566.139
