best epoch, train loss, train mae, valid loss, valid mae, test loss, test mae
00000181, 0.05951412, 0.12184434, 0.24024722, 0.39142996, 0.19615544, 0.23352617
00000165, 0.09246344, 0.16170749, 0.20330578, 0.35108769, 0.01317298, 0.09790074
00000080, 0.11281799, 0.16744700, 0.26020196, 0.38612321, 0.33986709, 0.31813487
00000079, 0.16401717, 0.21214648, 0.19903469, 0.35781318, 0.43469024, 0.35679588
00000158, 0.02016046, 0.09380491, 0.20490396, 0.35604593, 0.17155726, 0.22094661
00000172, 0.25281340, 0.35251951, 0.60884166, 0.64941806, 0.43314680, 0.54526234
00000199, 0.47247219, 0.39942113, 0.57378769, 0.64365315, 0.27566597, 0.43624344
00000086, 0.03033388, 0.12175308, 0.22085884, 0.35269856, 0.37531543, 0.32248011
00000193, 0.02340152, 0.11189064, 0.29497498, 0.41847584, 0.22628348, 0.26754948
00000162, 0.07791391, 0.13989069, 0.25194898, 0.39261103, 0.25937760, 0.27518010
00000190, 0.01996005, 0.09646165, 0.20954421, 0.36473235, 0.17680173, 0.22050144
00000069, 0.13445640, 0.19279380, 0.25711215, 0.38933328, 0.38032517, 0.33949518
00000199, 0.05249642, 0.10837314, 0.24528296, 0.39828655, 0.14485686, 0.20561212
00000174, 0.06140110, 0.12225277, 0.14799091, 0.28508624, 0.17662062, 0.21899368
00000142, 0.07331582, 0.13145724, 0.12116227, 0.25796595, 0.19236599, 0.22864418
00000191, 0.05826075, 0.11938284, 0.14295439, 0.27942771, 0.15734586, 0.22157799
00000072, 0.15901059, 0.19990511, 0.22069600, 0.35542324, 0.44559860, 0.38166964
