best epoch, train loss, train mae, valid loss, valid mae, test loss, test mae
00000039, 0.17820854, 0.33734161, 0.69018793, 0.71298146, 0.94258481, 0.71449900
00000099, 0.03952534, 0.13693359, 0.41228047, 0.52118462, 0.37889206, 0.35990211
00000295, 0.02192567, 0.09400615, 0.26439324, 0.40235746, 0.15266095, 0.24383223
00000099, 0.13734999, 0.19997437, 0.31885719, 0.43890369, 0.39892927, 0.37203595
00000099, 0.13452715, 0.20033491, 0.37630725, 0.48847556, 0.41940045, 0.37808982
00000095, 0.10879488, 0.17605360, 0.34727028, 0.46823403, 0.41098237, 0.35884085
00000094, 0.12682575, 0.20118928, 0.41390347, 0.52007413, 0.36669984, 0.36321354
00000099, 0.04533442, 0.15703645, 0.31910843, 0.45006466, 0.40349993, 0.35071626
00000099, 0.05268721, 0.16012900, 0.37757772, 0.48749626, 0.46942136, 0.39116716
00000099, 0.11635964, 0.18263528, 0.31647825, 0.45080757, 0.35563478, 0.35192099
00000099, 0.13807920, 0.19966999, 0.39456719, 0.49856639, 0.43840811, 0.40329519
00000099, 0.11899325, 0.18930954, 0.32912624, 0.46561128, 0.35954347, 0.35421440
00000099, 0.10311070, 0.17678991, 0.26537901, 0.38388363, 0.39045382, 0.34464940
00000099, 0.11967367, 0.19351393, 0.40041941, 0.51867425, 0.38006946, 0.35149503
00000099, 0.12108102, 0.18705574, 0.36710572, 0.48080814, 0.42488945, 0.38735852
00000099, 0.11778787, 0.18325460, 0.36087346, 0.48127189, 0.39112106, 0.36463198
00000099, 0.12654024, 0.19551310, 0.45703605, 0.55276543, 0.42320073, 0.37872791
00000399, 0.02403433, 0.08287415, 0.23790887, 0.40125912, 0.17860527, 0.21558952
00000495, 0.01850386, 0.07314654, 0.14376378, 0.29350823, 0.16763683, 0.20558476
00000499, 0.01681673, 0.06935993, 0.14950110, 0.30429560, 0.15897502, 0.22979026
00000490, 0.01910903, 0.07482265, 0.30560184, 0.45053786, 0.18754576, 0.22872536
00000198, 0.05292007, 0.13427463, 0.28513876, 0.42176348, 0.22414726, 0.27369949
00000199, 0.05926488, 0.14394599, 0.26829314, 0.40593383, 0.28112170, 0.29107073
00000187, 0.05955812, 0.14155062, 0.28317568, 0.41179588, 0.33704960, 0.31460676
00000198, 0.05871079, 0.14028518, 0.24348052, 0.36033610, 0.26483455, 0.29532540
00000141, 0.09359591, 0.17279640, 0.31640607, 0.43256265, 0.35875973, 0.35458586
00000123, 0.09055804, 0.16861604, 0.30495024, 0.43410596, 0.39924750, 0.35354593
00000189, 0.05288285, 0.12786148, 0.28014338, 0.42178524, 0.24813454, 0.26956764
00000176, 0.06537206, 0.14397073, 0.27381289, 0.40554982, 0.34135208, 0.31551743
00000130, 0.07965099, 0.15088752, 0.27706310, 0.40510899, 0.31423211, 0.31894329
00000116, 0.09433711, 0.16343383, 0.30560201, 0.42624360, 0.37258720, 0.35434651
00000194, 0.05187311, 0.12652618, 0.32644844, 0.44480321, 0.37005791, 0.33065847
00000184, 0.06092690, 0.14334521, 0.29845417, 0.42442724, 0.35675597, 0.32727832
00000199, 0.05913166, 0.14237456, 0.28154045, 0.41350299, 0.29552925, 0.29246187
00000157, 0.07638248, 0.15628725, 0.32820129, 0.46507138, 0.34748611, 0.33601150
00000132, 0.09099378, 0.16417719, 0.28295478, 0.40807641, 0.37924290, 0.34672308
00000199, 0.06090268, 0.14128757, 0.19608149, 0.33690554, 0.22223932, 0.26318511
00000195, 0.05502293, 0.13365297, 0.30407175, 0.43346465, 0.33692217, 0.32358703
00000181, 0.05598623, 0.13419874, 0.24648814, 0.37321448, 0.26158765, 0.30531314
00000199, 0.05142498, 0.12148751, 0.28952059, 0.43127096, 0.34114674, 0.32546052
00000190, 0.03964864, 0.13167335, 0.32355246, 0.46608058, 0.33119479, 0.33385018
00000119, 0.10215600, 0.17331904, 0.30076164, 0.42277861, 0.38481531, 0.35693440
00000141, 0.08538637, 0.15650080, 0.31038702, 0.43248391, 0.35331395, 0.33190468
00000137, 0.10050234, 0.17254029, 0.31480592, 0.43896481, 0.36708513, 0.34726202
00000195, 0.05795439, 0.14523777, 0.24833843, 0.37873811, 0.26863253, 0.28278610
00000189, 0.05227242, 0.12535468, 0.27740777, 0.41073936, 0.33043298, 0.30256727
00000199, 0.05637310, 0.13561898, 0.22856852, 0.39040381, 0.28659040, 0.28486323
00000192, 0.05339345, 0.13436811, 0.26386517, 0.38060299, 0.33283159, 0.31956556
00000195, 0.06810713, 0.15437837, 0.30512834, 0.43326625, 0.30298951, 0.31944171
