best epoch, train loss, train mae, valid loss, valid mae, test loss, test mae
00000095, 0.01811733, 0.09739711, 0.17113614, 0.33746272, 0.35996437, 0.32811847
00000034, 0.13189465, 0.23686364, 0.14669341, 0.29388005, 0.30493966, 0.28367087
00000069, 0.02774101, 0.10099013, 0.11879726, 0.27240095, 0.22770236, 0.26480103
00000088, 0.02341031, 0.10338877, 0.13104600, 0.28139746, 0.12668996, 0.21606977
00000098, 0.02388916, 0.09946482, 0.13089225, 0.28552034, 0.28376499, 0.28099063
00000077, 0.02119909, 0.10825492, 0.12021247, 0.26753604, 0.06309173, 0.17827688
00000030, 0.15825684, 0.27947921, 0.14229532, 0.27337930, 0.33541325, 0.32222661
00000030, 0.14892882, 0.26816887, 0.12051493, 0.25919598, 0.30599347, 0.27176213
00000092, 0.01510430, 0.08423119, 0.15553249, 0.30471841, 0.12343734, 0.19512548
00000032, 0.13328919, 0.26144871, 0.11539648, 0.25394791, 0.25385967, 0.28661692
00000029, 0.14751166, 0.25364515, 0.14944187, 0.30153245, 0.35258678, 0.32309443
00000095, 0.02177169, 0.08719945, 0.12608415, 0.28051686, 0.29332253, 0.27709547
00000097, 0.01603450, 0.09084629, 0.13535449, 0.26850832, 0.06528587, 0.16138346
00000097, 0.02020785, 0.09932874, 0.17616951, 0.32387853, 0.12602158, 0.21169131
00000098, 0.01045519, 0.07994750, 0.15494165, 0.29832435, 0.04299333, 0.13604413
00000089, 0.02732640, 0.10331541, 0.16827019, 0.31156754, 0.32173210, 0.33401009
00000158, 0.08391523, 0.17598218, 0.12057888, 0.27724373, 0.26786527, 0.31787261
00000209, 0.00935880, 0.07083991, 0.11661638, 0.26340348, 0.04203267, 0.14751691
00000073, 0.01867547, 0.09696618, 0.13140821, 0.28550535, 0.05455069, 0.15259096
00000031, 0.15138122, 0.28158176, 0.11799330, 0.25594163, 0.28559399, 0.30003265
00000095, 0.02513397, 0.10336193, 0.17470190, 0.32183000, 0.34470224, 0.32578024
00000028, 0.06388327, 0.20865324, 0.18284282, 0.33881915, 0.40407929, 0.33945069
00000028, 0.15752862, 0.28545707, 0.14636287, 0.30844843, 0.28512567, 0.27391779
00000012, 0.18006963, 0.32625198, 0.18372321, 0.34031808, 0.65732479, 0.55881923
00000030, 0.16121727, 0.25707248, 0.17591947, 0.31668371, 0.36989820, 0.32631043
