best epoch, train loss, train mae, valid loss, valid mae, test loss, test mae
00000025, 0.14746311, 0.26636893, 0.15013862, 0.29621875, 0.28246304, 0.29738307
00000150, 0.01049887, 0.07061492, 0.06026212, 0.19131011, 0.06605570, 0.19038875
00000225, 0.01071694, 0.06699405, 0.07693958, 0.22009298, 0.13068534, 0.19889517
00000375, 0.01017280, 0.07529020, 0.14760315, 0.31193113, 0.03376748, 0.14793698
00000001, nan, nan, 0.15687045, 0.33384317, 1.21243250, 1.09291184
00000185, 0.01138117, 0.07377562, 0.13321713, 0.28600544, 0.05303372, 0.16686155
00000124, 0.02018105, 0.11007279, 0.24658525, 0.37408054, 0.11884966, 0.24249308
00000154, 0.01225497, 0.08348656, 0.24844155, 0.37646568, 0.14454597, 0.24437642
00000156, 0.01714933, 0.09671280, 0.21713786, 0.34303796, 0.13407917, 0.23700435
00000096, 0.02268790, 0.11460958, 0.22786412, 0.35837507, 0.16791524, 0.27382502
00000141, 0.01858445, 0.10134573, 0.26510230, 0.38739038, 0.16439039, 0.25047755
00000190, 0.01444155, 0.08308731, 0.27201390, 0.39379674, 0.14151131, 0.23760192
00000117, 0.01179154, 0.08172210, 0.18280658, 0.35787195, 0.07420809, 0.18643071
00000086, 0.01755077, 0.09451961, 0.13923261, 0.30341718, 0.18749946, 0.28189504
00000120, 0.01165027, 0.08018142, 0.11543563, 0.27797437, 0.14347638, 0.24848060
00000169, 0.00819599, 0.06552991, 0.14206666, 0.31368762, 0.12042641, 0.24698639
00000164, 0.01050533, 0.07498366, 0.11294469, 0.26948786, 0.16969793, 0.26595354
00000194, 0.01351620, 0.08075631, 0.00890872, 0.07405259, 0.02194051, 0.12121995
00000194, 0.01453955, 0.08325769, 0.13149476, 0.27836353, 0.04650458, 0.14435399
00000102, 0.01650636, 0.09536335, 0.01150700, 0.08320006, 0.02006903, 0.11138964
00000190, 0.00777101, 0.06784580, 0.15635344, 0.33930919, 0.06228258, 0.17836797
00000107, 0.01691889, 0.09400501, 0.19448349, 0.37683091, 0.12472448, 0.22768931
